S.NO,SECTION,DV,M-II,PP,BEEE,FL,FIMS
1,ALPHA,12,0,17,9,19,15
2,ALPHA,19,12,16,16,18,3
3,ALPHA,18,14,18,18,18,16
4,ALPHA,15,9,19,17,19,15
5,ALPHA,18,17,19,19,20,18
6,ALPHA,17,16,18,10,15,9
7,ALPHA,15,10,20,20,15,14
8,ALPHA,17,17,19,20,19,13
9,ALPHA,10,18,A,20,19,15
10,ALPHA,18,19,20,20,20,15
11,ALPHA,17,18,20,18,20,18
12,ALPHA,20,20,20,20,19,16
13,ALPHA,16,18,11,15,19,15
14,ALPHA,17,17,18,11,15,9
15,ALPHA,19,20,20,20,18,12
16,ALPHA,13,18,17,19,16,9
17,ALPHA,15,17,18,17,17,13
18,ALPHA,11,8,18,15,19,15
19,ALPHA,14,12,16,16,20,14
20,ALPHA,19,17,20,20,20,18
21,ALPHA,4,2,5,3,16,9
22,ALPHA,14,10,19,17,19,17
23,ALPHA,17,17,20,20,18,13
24,ALPHA,20,20,20,20,20,18
25,ALPHA,15,14,19,4,18,14
26,ALPHA,6,10,10,11,13,10
27,ALPHA,17,19,20,20,20,18
28,ALPHA,5,4,3,12,13,5
29,ALPHA,19,19,20,19,20,15
30,ALPHA,8,2,11,10,13,12
31,ALPHA,11,12,11,3,13,6
32,ALPHA,12,2,17,11,18,15
33,ALPHA,17,14,20,17,18,16
34,ALPHA,14,10,17,12,13,12
35,ALPHA,17,16,19,17,19,15
36,ALPHA,8,13,13,12,14,7
37,ALPHA,11,9,8,17,14,12
38,ALPHA,15,12,10,19,10,6
39,ALPHA,19,18,20,19,20,18
40,ALPHA,20,17,20,19,20,18
41,ALPHA,18,9,20,19,20,18
42,ALPHA,16,19,17,20,20,9
43,ALPHA,16,19,19,15,20,17
44,ALPHA,11,14,18,12,18,10
45,ALPHA,18,13,19,16,15,13
46,ALPHA,11,15,20,18,13,15
47,ALPHA,14,20,19,20,20,15
48,ALPHA,16,15,19,19,20,14
49,ALPHA,16,10,20,19,13,14
50,ALPHA,15,16,8,11,10,13
51,ALPHA,1,16,15,13,10,11
52,ALPHA,6,12,10,11,10,3
53,ALPHA,17,17,19,12,15,15
54,ALPHA,8,13,9,11,10,10
55,ALPHA,14,10,19,17,15,13
56,ALPHA,15,18,20,18,15,15
57,ALPHA,10,17,12,17,10,9
58,ALPHA,2,2,4,10,10,3
59,ALPHA,10,17,11,19,15,10
60,ALPHA,19,15,20,18,20,16
61,ALPHA,19,17,20,15,20,17
62,ALPHA,8,8,15,9,10,9
63,ALPHA,12,10,18,15,10,4
64,ALPHA,11,20,20,19,13,13
65,ALPHA,12,17,20,17,13,9
66,ALPHA,9,13,8,15,10,11
67,ALPHA,12,16,20,20,15,17
68,ALPHA,12,6,13,20,15,9
69,ALPHA,16,20,20,20,20,16
70,ALPHA,20,20,20,19,20,18
71,ALPHA,4,2,16,10,15,9
72,ALPHA,17,20,20,20,15,18
73,ALPHA,7,0,15,10,18,11
74,ALPHA,10,13,12,19,15,12
75,ALPHA,17,20,20,20,20,17
76,ALPHA,5,8,7,15,10,2
77,ALPHA,17,20,19,20,18,15
78,ALPHA,13,20,19,15,15,10
79,ALPHA,19,17,20,20,13,15
80,ALPHA,19,20,20,19,20,17
81,ALPHA,19,17,20,20,20,18
82,ALPHA,18,15,20,20,20,18
83,ALPHA,2,0,2,A,A,A
84,ALPHA,10,15,4,8,15,9
85,ALPHA,12,14,20,19,20,18
86,ALPHA,3,4,14,13,18,13
87,ALPHA,17,18,19,20,20,18
88,ALPHA,13,17,14,19,15,17
89,ALPHA,2,17,0,3,15,2
90,ALPHA,10,6,15,10,15,10
91,BETA,17,19,20,17,20,18
92,BETA,14,9,10,11,13,14
93,BETA,11,14,18,14,20,14
94,BETA,14,5,17,3,10,13
95,BETA,12,13,20,9,20,16
96,BETA,16,12,12,13,18,11
97,BETA,8,17,3,12,18,9
98,BETA,8,16,14,17,13,13
99,BETA,6,7,16,9,13,13
100,BETA,9,11,9,10,13,12
101,BETA,10,10,10,4,15,12
102,BETA,13,12,18,4,18,11
103,BETA,10,12,17,9,,16
104,BETA,11,18,20,15,20,18
105,BETA,17,20,19,12,20,18
106,BETA,12,11,18,11,15,17
107,BETA,9,13,17,6,18,15
108,BETA,11,5,19,9,18,9
109,BETA,10,14,5,3,15,8
110,BETA,13,12,19,4,18,14
111,BETA,8,11,14,3,18,10
112,BETA,10,17,20,4,20,13
113,BETA,16,20,18,20,20,17
114,BETA,15,17,16,10,15,13
115,BETA,11,14,16,4,18,12
116,BETA,20,20,20,20,20,17
117,BETA,13,20,14,14,18,16
118,BETA,12,19,17,10,15,9
119,BETA,9,9,15,4,15,17
120,BETA,15,14,19,13,13,12
121,BETA,10,17,14,14,20,18
122,BETA,8,11,14,6,15,9
123,BETA,10,18,15,9,15,16
124,BETA,13,7,18,11,15,17
125,BETA,16,20,16,9,20,15
126,BETA,5,16,9,7,18,14
127,BETA,11,14,12,7,15,17
128,BETA,7,4,12,4,13,11
129,BETA,11,13,16,8,19,17
130,BETA,17,12,17,17,19,18
131,BETA,16,15,20,18,20,18
132,BETA,17,18,20,12,13,16
133,BETA,20,18,20,20,20,18
134,BETA,17,20,19,20,20,18
135,BETA,16,20,20,19,20,16
136,BETA,9,8,14,11,13,14
137,BETA,16,17,20,20,20,18
138,BETA,20,20,20,20,18,18
139,BETA,10,11,15,11,18,16
140,BETA,5,0,12,4,20,15
141,BETA,11,11,17,8,13,10
142,BETA,12,14,18,15,15,13
143,BETA,16,12,17,12,15,14
144,BETA,15,5,16,19,10,15
145,BETA,20,0,17,13,10,9
146,BETA,10,10,15,11,10,7
147,BETA,12,10,14,3,13,15
148,BETA,9,5,6,8,13,4
149,BETA,16,8,20,16,20,16
150,BETA,13,16,17,7,13,11
151,BETA,16,11,17,18,20,14
152,BETA,16,11,19,8,20,16
153,BETA,18,17,20,17,20,18
154,BETA,16,18,19,16,19,17
155,BETA,10,9,17,7,15,13
156,BETA,11,5,9,10,10,9
157,BETA,15,5,A,A,20,15
158,BETA,18,15,20,10,19,16
159,BETA,15,11,20,12,10,16
160,BETA,15,15,18,15,19,14
161,BETA,7,0,14,5,10,5
162,BETA,20,16,20,16,20,18
163,BETA,13,10,20,16,18,14
164,BETA,14,10,20,8,20,12
165,BETA,15,10,20,8,10,15
166,BETA,16,12,20,11,13,18
167,BETA,16,17,20,16,20,16
168,BETA,17,9,12,9,13,12
169,BETA,17,3,12,7,15,14
170,BETA,9,0,9,3,10,11
171,BETA,20,19,19,18,15,15
172,BETA,10,7,10,8,10,12
173,BETA,7,13,19,12,10,9
174,BETA,17,15,18,14,18,18
175,BETA,11,4,12,8,15,14
176,BETA,14,3,13,6,15,15
177,BETA,6,0,13,8,18,14
178,BETA,12,16,17,9,18,13
179,BETA,16,20,20,20,15,16
180,BETA,15,9,20,9,13,15
181,DELTA,19,19,19,17,20,20
182,DELTA,11,7,14,2,13,17
183,DELTA,18,19,19,20,20,20
184,DELTA,14,11,15,13,13,15
185,DELTA,10,0,5,5,10,10
186,DELTA,13,3,9,6,20,15
187,DELTA,16,5,14,9,18,19
188,DELTA,8,0,5,3,10,20
189,DELTA,17,10,15,10,15,20
190,DELTA,18,13,20,13,18,20
191,DELTA,5,0,1,1,10,5
192,DELTA,17,15,19,12,20,20
193,DELTA,12,0,5,6,10,16
194,DELTA,14,14,9,7,15,17
195,DELTA,6,0,1,0,10,13
196,DELTA,19,18,18,19,20,18
197,DELTA,14,5,14,5,10,15
198,DELTA,12,3,9,2,15,15
199,DELTA,20,20,20,20,20,18
200,DELTA,16,14,18,18,15,19
201,DELTA,9,10,9,3,15,16
202,DELTA,19,18,20,16,19,19
203,DELTA,18,17,18,11,20,20
204,DELTA,16,20,15,16,10,18
205,DELTA,18,20,18,14,15,20
206,DELTA,9,8,1,1,15,16
207,DELTA,13,3,12,5,15,19
208,DELTA,MP,AB,16,10,20,19
209,DELTA,16,7,14,5,15,17
210,DELTA,9,6,15,12,15,15
211,DELTA,16,8,16,9,15,18
212,DELTA,13,11,7,6,13,18
213,DELTA,13,0,3,2,10,15
214,DELTA,14,13,5,12,13,20
215,DELTA,9,3,4,2,10,15
216,DELTA,18,11,20,14,20,20
217,DELTA,16,8,18,11,13,14
218,DELTA,15,5,12,9,18,18
219,DELTA,15,8,17,14,18,19
220,DELTA,17,15,20,17,15,19
221,DELTA,14,16,18,11,20,19
222,DELTA,14,5,13,9,20,18
223,DELTA,7,10,7,2,10,15
224,DELTA,4,15,4,5,10,14
225,DELTA,15,3,15,2,13,14
226,DELTA,16,12,17,8,18,19
227,DELTA,16,18,15,16,18,18
228,DELTA,17,15,18,17,20,19
229,DELTA,18,11,19,10,20,20
230,DELTA,20,12,18,17,20,20
231,DELTA,15,3,11,6,10,19
232,DELTA,11,1,1,2,10,9
233,DELTA,14,6,12,5,10,17
234,DELTA,12,3,10,10,10,18
235,DELTA,10,5,13,5,10,18
236,DELTA,18,17,15,18,19,19
237,DELTA,16,11,16,14,13,19
238,DELTA,18,20,15,19,15,14
239,DELTA,18,20,18,14,20,19
240,DELTA,18,9,8,11,18,18
241,DELTA,6,6,2,3,10,11
242,DELTA,15,1,18,18,20,19
243,DELTA,18,6,12,8,15,16
244,DELTA,10,0,11,7,15,15
245,DELTA,A,AB,AB,A,A,AB
246,DELTA,16,20,12,16,10,17
247,DELTA,17,15,15,15,13,16
248,DELTA,15,16,14,5,13,19
249,DELTA,16,6,14,13,13,16
250,DELTA,15,6,12,9,15,19
251,DELTA,11,8,9,3,10,17
252,DELTA,20,20,20,19,20,20
253,DELTA,13,13,14,13,15,19
254,DELTA,18,15,19,13,19,20
255,DELTA,12,11,5,1,10,16
256,DELTA,15,13,9,6,15,AB
257,DELTA,20,20,20,17,20,20
258,DELTA,10,6,14,4,10,16
259,DELTA,11,6,11,6,10,15
260,DELTA,14,8,12,13,13,18
261,DELTA,8,0,3,A,10,14
262,DELTA,11,1,10,12,10,16
263,DELTA,11,15,9,7,10,15
264,DELTA,13,2,5,9,10,10
265,DELTA,17,15,12,16,15,18
266,DELTA,11,5,9,10,15,14
267,DELTA,18,10,17,9,15,17
268,DELTA,18,10,17,6,20,17
269,DELTA,17,17,16,14,19,18
270,DELTA,9,5,5,1,10,11
271,EPSILON,15,4,10,12,11,13
272,EPSILON,18,9,11,20,17,15
273,EPSILON,13,3,14,7,20,9
274,EPSILON,17,17,14,20,18,17
275,EPSILON,19,19,11,18,20,19
276,EPSILON,16,13,11,18,17,13
277,EPSILON,11,0,5,7,17,14
278,EPSILON,18,20,13,20,20,18
279,EPSILON,17,8,11,15,15,12
280,EPSILON,15,4,14,20,19,16
281,EPSILON,15,3,10,11,13,11
282,EPSILON,11,6,8,14,12,15
283,EPSILON,17,14,8,20,17,16
284,EPSILON,17,11,10,17,19,15
285,EPSILON,16,1,6,12,8,8
286,EPSILON,18,15,13,16,19,16
287,EPSILON,17,8,14,17,20,16
288,EPSILON,15,4,4,13,16,13
289,EPSILON,19,3,12,15,20,13
290,EPSILON,14,0,5,11,8,11
291,EPSILON,17,4,5,9,12,14
292,EPSILON,18,10,11,18,20,14
293,EPSILON,17,0,8,17,11,14
294,EPSILON,14,9,7,14,16,16
295,EPSILON,12,2,6,6,6,11
296,EPSILON,19,18,12,20,20,19
297,EPSILON,17,12,15,20,20,19
298,EPSILON,14,3,5,8,13,6
299,EPSILON,11,4,5,16,15,13
300,EPSILON,17,11,12,19,20,17
301,EPSILON,17,3,13,15,12,12
302,EPSILON,17,9,10,14,14,9
303,EPSILON,19,12,12,20,20,19
304,EPSILON,18,8,9,19,19,13
305,EPSILON,17,4,10,11,10,11
306,EPSILON,16,16,12,19,9,13
307,EPSILON,16,16,15,20,20,16
308,EPSILON,18,20,16,20,20,19
309,EPSILON,17,13,16,15,14,11
310,EPSILON,16,18,16,20,19,8
311,EPSILON,17,4,11,17,17,18
312,EPSILON,13,4,5,11,16,14
313,EPSILON,10,3,6,7,11,8
314,EPSILON,15,3,6,7,16,8
315,EPSILON,15,3,13,11,14,1
316,EPSILON,18,13,15,17,19,16
317,EPSILON,13,1,2,9,14,12
318,EPSILON,14,11,10,20,14,17
319,EPSILON,12,8,2,12,16,3
320,EPSILON,17,8,9,15,12,8
321,EPSILON,18,15,13,19,20,18
322,EPSILON,17,9,11,18,19,18
323,EPSILON,18,0,3,8,17,3
324,EPSILON,17,4,6,17,15,11
325,EPSILON,15,0,5,15,13,13
326,EPSILON,15,6,9,14,12,16
327,EPSILON,18,8,7,17,20,11
328,EPSILON,16,11,11,19,15,13
329,EPSILON,13,8,9,18,20,13
330,EPSILON,16,3,11,17,12,15
331,EPSILON,18,4,9,10,20,15
332,EPSILON,17,19,16,20,20,18
333,EPSILON,15,1,2,7,10,2
334,EPSILON,17,1,3,3,11,12
335,EPSILON,19,2,6,20,17,13
336,EPSILON,19,6,8,20,18,15
337,EPSILON,A,A,A,A,A,A
338,EPSILON,5,0,3,11,7,10
339,EPSILON,16,3,7,16,20,16
340,EPSILON,17,20,14,20,20,16
341,EPSILON,15,5,6,14,15,8
342,EPSILON,16,4,12,17,15,11
343,EPSILON,17,3,3,9,16,4
344,EPSILON,12,1,3,10,16,6
345,EPSILON,19,1,8,19,18,13
346,EPSILON,6,0,1,11,9,4
347,EPSILON,19,20,18,20,20,17
348,EPSILON,13,5,6,18,13,5
349,EPSILON,14,3,8,15,18,12
350,EPSILON,12,3,6,7,15,10
351,EPSILON,14,0,1,6,6,1
352,EPSILON,12,0,4,15,11,9
353,EPSILON,11,0,2,6,16,10
354,EPSILON,16,1,5,15,13,11
355,EPSILON,11,1,6,16,11,13
356,EPSILON,12,5,8,16,16,7
357,EPSILON,16,5,4,15,18,13
358,EPSILON,9,0,2,3,11,1
359,GAMMA,6,0,3,3,10,4
360,GAMMA,9,3,3,12,10,5
361,GAMMA,5,3,9,10,10,7
362,GAMMA,15,8,6,7,15,10
363,GAMMA,13,9,15,16,20,16
364,GAMMA,20,12,14,20,20,14
365,GAMMA,14,1,9,14,10,9
366,GAMMA,18,11,9,20,15,13
367,GAMMA,16,5,10,20,18,11
368,GAMMA,19,9,18,17,19,17
369,GAMMA,10,0,4,6,13,9
370,GAMMA,18,15,13,20,15,A
371,GAMMA,20,17,16,20,20,18
372,GAMMA,13,3,11,15,18,12
373,GAMMA,20,14,18,17,19,15
374,GAMMA,17,17,15,20,19,13
375,GAMMA,7,0,3,A,13,8
376,GAMMA,16,12,16,19,18,15
377,GAMMA,11,3,6,10,15,8
378,GAMMA,15,3,6,12,13,10
379,GAMMA,14,9,8,18,13,15
380,GAMMA,13,10,9,14,20,16
381,GAMMA,15,7,14,20,18,11
382,GAMMA,19,19,10,18,18,11
383,GAMMA,15,14,12,14,15,15
384,GAMMA,17,11,6,11,15,10
385,GAMMA,18,10,9,16,15,13
386,GAMMA,13,6,9,11,18,14
387,GAMMA,12,9,10,18,20,16
388,GAMMA,19,8,13,19,18,16
389,GAMMA,20,4,16,18,19,14
390,GAMMA,20,15,14,16,20,12
391,GAMMA,14,1,6,8,10,9
392,GAMMA,19,16,16,17,15,16
393,GAMMA,16,4,13,17,15,16
394,GAMMA,12,3,2,7,13,9
395,GAMMA,20,8,0,0,13,13
396,GAMMA,A,AB,6,7,13,A
397,GAMMA,19,8,17,18,13,14
398,GAMMA,11,4,7,12,13,15
399,GAMMA,5,3,3,2,10,9
400,GAMMA,20,18,MP,19,18,17
401,GAMMA,11,1,7,19,15,11
402,GAMMA,20,20,19,20,18,16
403,GAMMA,A,AB,AB,A,A,A
404,GAMMA,18,17,17,16,18,15
405,GAMMA,20,17,16,20,20,14
406,GAMMA,18,18,17,19,15,15
407,GAMMA,7,2,2,6,10,7
408,GAMMA,11,5,9,13,13,15
409,GAMMA,13,8,11,17,13,16
410,GAMMA,14,18,13,17,18,15
411,GAMMA,18,15,15,20,15,17
412,GAMMA,19,5,11,20,18,14
413,GAMMA,8,0,2,6,15,8
414,GAMMA,14,7,12,17,18,14
415,GAMMA,A,AB,AB,A,A,A
416,GAMMA,16,14,11,18,15,5
417,GAMMA,19,10,17,17,18,12
418,GAMMA,18,12,15,12,18,9
419,GAMMA,18,13,17,15,15,15
420,GAMMA,16,3,12,18,19,15
421,GAMMA,15,12,17,17,19,15
422,GAMMA,17,15,17,20,18,17
423,GAMMA,10,12,1,8,15,3
424,GAMMA,19,17,17,19,20,17
425,GAMMA,15,3,12,10,18,14
426,GAMMA,11,15,11,19,15,8
427,GAMMA,18,11,18,18,15,12
428,GAMMA,2,5,1,2,10,6
429,GAMMA,12,0,6,4,10,9
430,GAMMA,18,6,10,20,19,17
431,GAMMA,16,11,7,17,13,14
432,GAMMA,20,20,19,20,20,18
433,GAMMA,20,20,19,20,20,18
434,GAMMA,20,20,19,20,18,15
435,GAMMA,17,10,15,19,18,16
436,GAMMA,18,10,14,20,20,18
437,GAMMA,18,12,12,20,15,18
438,GAMMA,13,5,9,18,15,17
439,GAMMA,15,11,11,19,15,15
440,GAMMA,13,15,15,17,15,16
441,GAMMA,20,20,20,20,20,18
442,GAMMA,10,0,4,9,15,13
443,GAMMA,19,13,16,18,18,14
444,GAMMA,12,5,1,20,10,0
445,GAMMA,20,20,20,20,18,18
446,GAMMA,15,8,4,15,15,13
447,GAMMA,20,20,17,20,20,18
448,GAMMA,19,3,11,14,20,14
449,OMEGA,16,8,18,17,18,19
450,OMEGA,19,4,16,17,20,18
451,OMEGA,9,0,A,A,A,AB
452,OMEGA,17,7,15,15,15,16
453,OMEGA,19,6,16,16,18,19
454,OMEGA,20,20,20,20,20,19
455,OMEGA,18,3,19,15,14,18
456,OMEGA,16,0,14,6,18,15
457,OMEGA,17,2,11,6,10,10
458,OMEGA,16,12,13,4,15,17
459,OMEGA,6,1,A,A,A,AB
460,OMEGA,15,4,15,11,11,19
461,OMEGA,18,2,12,18,12,17
462,OMEGA,20,16,20,20,19,19
463,OMEGA,20,17,20,20,20,19
464,OMEGA,19,8,15,14,14,12
465,OMEGA,6,1,9,11,8,10
466,OMEGA,20,19,20,20,16,17
467,OMEGA,19,13,20,18,20,16
468,OMEGA,18,8,20,19,20,18
469,OMEGA,20,1,17,17,12,17
470,OMEGA,19,13,12,11,14,17
471,OMEGA,19,6,20,13,20,17
472,OMEGA,16,7,11,17,15,17
473,OMEGA,15,7,10,5,8,10
474,OMEGA,20,16,20,20,20,18
475,OMEGA,20,18,20,19,20,18
476,OMEGA,20,19,20,19,20,19
477,OMEGA,20,11,18,14,20,15
478,OMEGA,20,20,20,20,20,16
479,OMEGA,5,2,11,0,10,AB
480,OMEGA,20,8,19,14,20,13
481,OMEGA,20,15,18,16,20,19
482,OMEGA,20,12,13,17,20,14
483,OMEGA,15,7,14,16,16,16
484,OMEGA,20,11,20,13,15,16
485,OMEGA,6,3,7,11,11,14
486,OMEGA,17,1,11,17,20,19
487,OMEGA,15,7,18,15,16,15
488,OMEGA,1,5,0,A,A,AB
489,OMEGA,20,9,19,17,20,18
490,OMEGA,19,7,16,16,20,18
491,OMEGA,15,7,10,9,9,19
492,OMEGA,12,3,2,8,7,12
493,OMEGA,20,4,16,19,20,16
494,OMEGA,17,3,18,8,13,14
495,OMEGA,18,18,19,18,8,18
496,OMEGA,A,A,A,A,A,AB
497,OMEGA,19,12,12,12,11,15
498,OMEGA,19,7,19,18,18,17
499,OMEGA,20,8,19,5,16,19
500,OMEGA,12,4,19,17,14,15
501,OMEGA,17,3,14,11,19,17
502,OMEGA,20,9,20,18,20,20
503,OMEGA,20,7,17,17,20,18
504,OMEGA,1,1,2,A,10,AB
505,OMEGA,15,14,11,16,13,15
506,OMEGA,20,20,20,20,20,20
507,OMEGA,20,18,20,20,20,19
508,OMEGA,20,20,20,20,20,20
509,OMEGA,11,4,2,2,8,10
510,OMEGA,18,2,12,3,17,15
511,OMEGA,20,6,16,11,20,14
512,OMEGA,20,6,18,13,20,18
513,OMEGA,20,20,5,19,18,14
514,OMEGA,20,16,18,19,20,19
515,OMEGA,A,A,12,16,20,18
516,OMEGA,20,15,20,20,20,15
517,OMEGA,12,1,7,5,8,12
518,OMEGA,12,0,7,8,12,10
519,OMEGA,20,1,20,6,14,15
520,OMEGA,20,17,20,20,20,17
521,OMEGA,14,1,6,A,A,AB
522,OMEGA,20,19,20,19,20,20
523,OMEGA,20,14,19,19,20,18
524,OMEGA,20,18,20,19,20,16
525,OMEGA,9,1,6,6,10,13
526,OMEGA,11,0,5,11,17,16
527,OMEGA,20,6,20,18,17,18
528,OMEGA,16,4,19,15,15,18
529,OMEGA,19,7,20,11,13,18
530,OMEGA,19,2,20,13,20,19
531,OMEGA,17,4,15,10,17,13
532,OMEGA,20,6,14,19,20,15
533,OMEGA,20,12,20,19,20,17
534,OMEGA,20,19,20,20,20,20
535,OMEGA,20,12,9,18,20,19
536,OMEGA,17,2,11,13,20,14
537,OMEGA,15,4,12,17,18,16
538,OMEGA,20,11,17,18,20,14
539,SIGMA,19,12,15,18,19,20
540,SIGMA,20,18,20,18,20,19
541,SIGMA,19,14,20,17,18,16
542,SIGMA,12,8,14,14,13,18
543,SIGMA,20,11,20,17,18,17
544,SIGMA,10,0,5,9,10,9
545,SIGMA,14,8,18,7,15,20
546,SIGMA,17,5,15,9,18,19
547,SIGMA,14,11,5,2,13,AB
548,SIGMA,20,20,17,18,19,19
549,SIGMA,19,11,14,17,15,16
550,SIGMA,4,3,2,6,10,8
551,SIGMA,17,9,17,11,13,17
552,SIGMA,A,AB,A,A,A,AB
553,SIGMA,20,19,20,20,13,18
554,SIGMA,17,18,4,11,13,5
555,SIGMA,20,17,20,17,15,20
556,SIGMA,16,20,19,20,18,17
557,SIGMA,A,AB,A,A,A,AB
558,SIGMA,20,17,20,20,18,17
559,SIGMA,12,10,11,3,10,12
560,SIGMA,13,9,14,12,15,19
561,SIGMA,18,13,11,11,10,11
562,SIGMA,17,15,20,18,15,19
563,SIGMA,7,0,A,5,15,16
564,SIGMA,5,0,5,4,10,10
565,SIGMA,,,,,,
566,SIGMA,18,13,18,15,20,19
567,SIGMA,11,17,19,12,20,14
568,SIGMA,20,19,19,16,19,19
569,SIGMA,17,13,18,18,20,19
570,SIGMA,19,14,15,17,20,15
571,SIGMA,14,9,13,16,18,16
572,SIGMA,11,3,8,4,10,15
573,SIGMA,14,1,14,10,20,17
574,SIGMA,16,19,15,19,18,14
575,SIGMA,20,20,20,20,20,20
576,SIGMA,20,20,20,17,20,16
577,SIGMA,16,14,19,15,18,18
578,SIGMA,20,20,17,16,20,20
579,SIGMA,16,11,13,8,20,11
580,SIGMA,14,4,11,10,13,AB
581,SIGMA,12,2,9,13,20,17
582,SIGMA,15,5,14,4,13,16
583,SIGMA,20,16,15,18,15,18
584,SIGMA,19,20,18,17,20,15
585,SIGMA,18,15,14,13,19,14
586,SIGMA,19,7,11,12,15,13
587,SIGMA,20,17,20,15,18,18
588,SIGMA,19,19,12,8,13,19
589,SIGMA,20,20,20,20,20,18
590,SIGMA,20,17,20,18,20,18
591,SIGMA,20,15,17,13,20,17
592,SIGMA,17,20,16,16,20,19
593,SIGMA,20,18,19,14,19,16
594,SIGMA,15,6,9,3,18,15
595,SIGMA,20,17,18,20,19,20
596,SIGMA,17,14,16,18,20,18
597,SIGMA,20,20,20,20,20,20
598,SIGMA,20,20,20,19,19,18
599,SIGMA,20,20,17,17,19,18
600,SIGMA,14,12,11,9,18,17
601,SIGMA,20,19,20,18,18,19
,,,,,,,
,,20,19,16,15,13,18
,,12,3,10,6,10,19
,,20,9,15,17,15,20
,,11,18,19,15,19,16
,,20,20,17,16,18,19
,,20,19,18,15,18,20
,,16,20,17,16,18,18
,,15,13,15,7,18,17
,,10,10,11,2,10,5
,,2,0,0,3,10,9
,,18,8,9,8,13,16
,,20,20,19,20,20,20
,,20,19,17,18,20,19
,,20,20,17,16,18,18
,,15,18,9,A,15,11
,,12,12,15,14,13,11
,,20,20,20,20,20,19
,,14,6,17,14,10,18
,,19,8,19,13,18,20
,,20,20,20,16,18,17
,,16,3,11,17,15,16
,,18,20,17,18,15,20
,,18,15,12,13,18,16
,,19,3,18,15,15,17
,,17,20,16,19,18,18
,,15,1,11,8,13,17
,ZETA,17,3,8,16,15,A
,ZETA,16,1,6,16,14,12
,ZETA,15,20,14,19,20,17
,ZETA,14,4,9,16,19,15
,ZETA,19,14,16,15,20,16
,ZETA,20,6,7,9,16,19
,ZETA,14,3,9,13,15,9
,ZETA,9,0,2,2,3,9
,ZETA,9,0,5,3,4,5
,ZETA,12,0,2,4,4,9
,ZETA,11,0,3,4,4,7
,ZETA,16,10,10,13,15,17
,ZETA,17,15,14,20,19,16
,ZETA,19,19,12,17,20,16
,ZETA,16,15,8,19,18,14
,ZETA,12,3,3,9,6,12
,ZETA,12,1,5,8,1,8
,ZETA,17,0,7,12,7,10
,ZETA,16,1,2,9,12,15
,ZETA,18,16,12,20,20,17
,ZETA,20,20,11,20,20,19
,ZETA,11,0,7,9,12,8
,ZETA,A,A,A,A,A,A
,ZETA,14,0,11,8,8,11
,ZETA,17,16,13,20,19,17
,ZETA,20,20,16,20,20,18
,ZETA,18,3,7,18,20,18
,ZETA,19,3,5,10,19,13
,ZETA,18,7,7,16,6,13
,ZETA,17,4,11,16,20,18
,ZETA,14,2,5,11,10,11
,ZETA,19,6,15,17,20,18
,ZETA,13,2,8,18,20,17
,ZETA,18,13,11,12,19,14
,ZETA,16,10,14,20,20,16
,ZETA,9,3,6,9,15,8
,ZETA,15,12,15,14,17,9
,ZETA,11,5,5,12,9,14
,ZETA,18,16,12,20,20,19
,ZETA,15,1,11,16,13,15
,ZETA,17,19,17,18,20,18
,ZETA,16,6,A,A,8,9
,ZETA,15,8,16,19,20,16
,ZETA,16,6,11,13,14,13
,ZETA,11,6,10,17,12,10
,ZETA,2,A,0,0,2,1
,ZETA,14,20,7,19,11,12
,ZETA,16,2,9,17,17,14
,ZETA,19,20,11,19,20,17
,ZETA,18,8,10,19,20,17
,ZETA,9,5,9,13,14,12
,ZETA,11,0,8,4,1,11
,ZETA,11,13,8,9,15,9
,ZETA,17,1,10,16,11,9
,ZETA,19,3,8,17,20,15
,ZETA,17,5,7,18,12,15
,ZETA,15,8,7,15,19,17
,ZETA,5,1,4,15,1,6
,ZETA,13,9,9,15,14,16
,ZETA,17,11,16,16,16,12
,ZETA,16,1,8,20,13,13
,ZETA,6,3,4,9,10,15
,ZETA,18,6,7,15,19,18
,ZETA,15,3,9,16,16,18
,ZETA,20,15,17,18,20,17
,ZETA,20,1,8,20,18,18
,ZETA,20,19,14,20,20,19
,ZETA,15,8,15,17,20,19
,ZETA,16,7,14,17,19,18
,ZETA,18,15,15,20,20,19
,ZETA,18,17,15,16,20,16
,ZETA,16,11,8,18,19,16
,ZETA,17,7,7,12,13,9
,ZETA,15,4,3,13,14,13
,ZETA,15,8,6,18,17,15
,ZETA,16,6,15,17,20,16
,ZETA,18,7,14,19,16,18
,ZETA,16,0,11,16,20,A
,ZETA,16,8,8,18,19,17
,ZETA,16,8,11,19,15,17
,ZETA,18,1,10,19,16,16
,ZETA,19,17,12,17,20,16
,ZETA,18,1,6,12,11,9
,ZETA,18,9,12,20,16,16
,ZETA,15,10,7,18,18,16
,ZETA,19,8,8,19,17,18
,ZETA,12,1,7,10,20,8
,ZETA,17,6,14,14,17,18
,ZETA,12,1,6,7,15,12
,ZETA,19,14,17,16,20,19
